generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
0,0,100,50,250,100,50
0,50,90,51,250,100,51,40,30
0,100,83,56,250,100,56,70,50
0,150,75,60,250,100,60,70,60
0,200,71,65,250,100,65,70,60
0,250,51,70,250,100,70,90,80
0,300,31,66,250,100,70,100,110
0,350,32,62,250,100,70,120,110
0,400,30,59,250,100,70,130,110
0,450,24,57,250,100,70,160,110
0,500,20,46,250,100,70,160,110
0,550,15,45,250,100,70,160,130
0,600,10,47,250,100,70,130,160
0,650,7,42,250,100,70,140,180
0,700,6,34,250,100,70,160,180
0,750,6,23,250,100,70,170,180
0,800,6,19,250,100,70,190,180
0,850,8,16,250,100,70,220,180
0,900,8,15,250,100,70,220,180
0,950,6,15,250,100,70,220,180
0,1000,9,9,250,100,70,220,180
0,1050,9,4,250,100,70,220,100
0,1100,10,1,250,100,70,230,80
0,1150,10,1,250,100,70,230,80
0,1200,10,1,250,100,70,230,80
0,1250,10,1,250,100,70,240,80
0,1300,11,1,250,100,70,270,80
0,1350,11,0,250,100,70,270,0
0,1400,10,0,250,100,70,300,0
0,1450,10,0,250,100,70,300,0
0,1500,8,0,250,100,70,300,0
0,1550,6,0,250,100,70,300,0
0,1600,5,0,250,100,70,300,0
0,1650,5,0,250,100,70,300,0
0,1700,4,0,250,100,70,300,0
0,1750,3,0,250,100,70,300,0
0,1800,2,0,250,100,70,300,0
0,1850,2,0,250,100,70,300,0
0,1900,2,0,250,100,70,310,0
0,1950,1,0,250,100,70,320,0
0,2000,1,0,250,100,70,320,0
0,2050,1,0,250,100,70,320,0
0,2100,1,0,250,100,70,320,0
0,2150,1,0,250,100,70,320,0
0,2200,1,0,250,100,70,320,0
0,2250,1,0,250,100,70,320,0
0,2300,1,0,250,100,70,320,0
0,2350,1,0,250,100,70,320,0
0,2400,1,0,250,100,70,330,0
0,2450,1,0,250,100,70,340,0
0,2500,1,0,250,100,70,340,0
0,2550,2,0,250,100,70,360,0
0,2600,2,0,250,100,70,360,0
0,2650,2,0,250,100,70,360,0
0,2700,2,0,250,100,70,360,0
0,2750,2,0,250,100,70,360,0
0,2800,2,0,250,100,70,360,0
0,2850,2,0,250,100,70,370,0
0,2900,2,0,250,100,70,380,0
0,2950,2,0,250,100,70,380,0
0,3000,1,0,250,100,70,380,0
1,0,100,50,250,100,50
1,0,100,50,250,100,50
1,50,101,52,250,101,52,30,40
1,100,101,54,250,102,54,60,40
1,150,102,57,250,106,57,70,40
1,200,92,68,250,106,68,90,70
1,250,88,72,250,106,74,100,80
1,300,69,72,250,106,74,130,90
1,350,61,75,250,106,77,160,120
1,400,60,74,250,106,77,160,130
1,450,50,75,250,106,77,160,130
1,500,52,73,250,106,77,160,130
1,550,42,75,250,106,77,160,130
1,600,36,73,250,106,77,190,130
1,650,35,65,250,106,77,210,140
1,700,30,60,250,106,77,210,140
1,750,27,57,250,106,77,220,140
1,800,23,52,250,106,77,220,150
1,850,21,45,250,106,77,210,150
1,900,21,44,250,106,77,230,150
1,950,19,37,250,106,77,230,150
1,1000,18,30,250,106,77,230,150
1,1050,12,23,250,106,77,230,150
1,1100,10,20,250,106,77,230,150
1,1150,8,14,250,106,77,240,150
1,1200,6,10,250,106,77,250,160
1,1250,8,8,250,106,77,270,160
1,1300,7,5,250,106,77,280,160
1,1350,8,4,250,106,77,310,160
1,1400,9,4,250,106,77,310,160
1,1450,12,4,250,106,77,340,160
1,1500,13,3,250,106,77,370,160
1,1550,16,2,250,106,77,400,160
1,1600,17,1,250,106,77,400,160
1,1650,20,1,250,106,77,430,160
1,1700,22,1,250,106,77,460,160
1,1750,24,1,250,106,77,480,160
1,1800,23,0,250,106,77,480,0
1,1850,26,0,250,106,77,480,0
1,1900,27,0,250,106,77,490,0
1,1950,29,0,250,106,77,520,0
1,2000,28,0,250,106,77,520,0
1,2050,30,0,250,106,77,520,0
1,2100,33,0,250,106,77,540,0
1,2150,37,0,250,106,77,550,0
1,2200,38,0,250,106,77,550,0
1,2250,43,0,250,106,77,560,0
1,2300,49,0,250,106,77,590,0
1,2350,59,0,250,106,77,620,0
1,2400,70,0,250,106,77,650,0
