generation,tick,preys_alive,predators_alive,food_alive,max_preys_this_gen,max_predators_this_gen,BestPreyFit,BestPredFit
0,0,100,50,250,100,50
0,50,95,53,250,100,53,30,40
0,100,91,58,250,100,58,60,60
0,150,90,63,250,100,63,70,80
0,200,88,69,250,100,69,90,90
0,250,78,72,250,100,73,100,90
0,300,73,59,250,100,73,130,130
0,350,70,54,250,100,73,130,140
0,400,61,53,250,100,73,160,150
0,450,63,51,250,100,73,180,150
0,500,61,45,250,100,73,190,150
0,550,57,44,250,100,73,190,150
0,600,56,42,250,100,73,220,170
0,650,52,42,250,100,73,210,180
0,700,48,41,250,100,73,230,180
0,750,49,35,250,100,73,240,180
0,800,44,36,250,100,73,250,190
0,850,43,37,250,100,73,250,190
0,900,49,34,250,100,73,280,190
0,950,48,30,250,100,73,280,190
0,1000,50,30,250,100,73,310,190
0,1050,49,27,250,100,73,340,190
0,1100,50,24,250,100,73,360,190
0,1150,53,21,250,100,73,370,190
0,1200,56,17,250,100,73,390,190
0,1250,55,16,250,100,73,390,190
0,1300,55,16,250,100,73,390,190
0,1350,55,15,250,100,73,400,200
0,1400,58,18,250,100,73,420,250
0,1450,62,20,250,100,73,430,280
0,1500,73,20,250,100,73,440,280
0,1550,81,20,250,100,73,440,300
0,1600,98,22,250,100,73,470,310
0,1650,115,26,250,115,73,470,310
0,1700,144,26,250,144,73,500,310
0,1750,147,33,250,150,73,500,340
0,1800,150,36,250,150,73,520,340
0,1850,147,41,250,150,73,530,360
0,1900,148,52,250,150,73,560,380
0,1950,146,58,250,150,73,560,380
0,2000,137,68,250,150,73,590,410
0,2050,131,80,250,150,80,620,410
0,2100,109,89,250,150,89,620,440
0,2150,106,98,250,150,98,640,450
0,2200,99,100,250,150,100,670,470
0,2250,88,100,250,150,100,700,490
0,2300,78,100,250,150,100,710,490
0,2350,69,95,250,150,100,710,490
0,2400,61,99,250,150,100,740,490
0,2450,56,100,250,150,100,770,490
0,2500,50,93,250,150,100,800,490
0,2550,52,90,250,150,100,830,490
0,2600,46,88,250,150,100,850,500
0,2650,42,86,250,150,100,880,520
0,2700,37,87,250,150,100,890,520
0,2750,34,83,250,150,100,910,530
0,2800,25,82,250,150,100,920,530
0,2850,22,76,250,150,100,950,540
0,2900,18,75,250,150,100,970,540
0,2950,19,72,250,150,100,970,540
0,3000,20,69,250,150,100,980,540
1,0,100,50,250,100,50
1,0,100,50,250,100,50
1,50,91,53,250,100,53,40,30
1,100,94,57,250,100,57,70,60
1,150,87,69,250,100,69,70,70
1,200,82,77,250,100,77,90,100
1,250,78,83,250,100,83,100,120
1,300,67,86,250,100,86,130,140
1,350,61,85,250,100,88,130,150
1,400,58,87,250,100,88,160,160
1,450,59,85,250,100,88,190,170
1,500,62,81,250,100,88,210,170
1,550,59,77,250,100,88,220,170
1,600,61,74,250,100,88,250,170
1,650,65,76,250,100,88,280,170
1,700,73,70,250,100,88,310,200
1,750,70,73,250,100,88,340,200
1,800,78,74,250,100,88,370,210
1,850,81,77,250,100,88,390,210
1,900,77,85,250,100,88,400,230
1,950,70,90,250,100,90,400,230
1,1000,69,93,250,100,94,430,240
1,1050,65,93,250,100,94,450,240
1,1100,61,94,250,100,95,480,250
1,1150,59,95,250,100,96,510,250
1,1200,52,100,250,100,100,520,260
1,1250,55,97,250,100,100,520,260
1,1300,49,98,250,100,100,540,260
1,1350,46,96,250,100,100,550,260
1,1400,39,96,250,100,100,580,260
1,1450,38,93,250,100,100,580,260
1,1500,25,93,250,100,100,610,270
1,1550,22,88,250,100,100,630,270
1,1600,20,84,250,100,100,630,290
1,1650,22,80,250,100,100,660,290
1,1700,24,75,250,100,100,670,290
1,1750,33,69,250,100,100,700,290
1,1800,40,61,250,100,100,720,290
1,1850,36,57,250,100,100,760,290
1,1900,36,55,250,100,100,810,290
1,1950,40,50,250,100,100,820,290
1,2000,46,50,250,100,100,840,310
1,2050,50,45,250,100,100,850,310
1,2100,60,44,250,100,100,880,310
1,2150,67,44,250,100,100,910,310
1,2200,77,47,250,100,100,930,330
1,2250,100,49,250,101,100,960,350
1,2300,118,45,250,118,100,970,360
1,2350,139,47,250,139,100,1000,360
1,2400,148,51,250,150,100,1030,420
1,2450,150,61,250,150,100,1050,450
1,2500,150,72,250,150,100,1060,450
1,2550,147,81,250,150,100,1090,450
1,2600,145,94,250,150,100,1110,450
1,2650,147,99,250,150,100,1110,460
1,2700,139,100,250,150,100,1110,480
1,2750,138,99,250,150,100,1120,500
1,2800,138,100,250,150,100,1150,520
1,2850,128,100,250,150,100,1180,530
1,2900,115,100,250,150,100,1200,540
1,2950,97,97,250,150,100,1210,570
1,3000,80,98,250,150,100,1230,570
2,0,100,50,250,100,50
2,0,100,50,250,100,50
2,50,113,51,250,114,51,40,50
2,100,150,55,250,150,55,60,60
2,150,148,63,250,150,63,90,70
2,200,149,73,250,150,73,120,80
2,250,150,86,250,150,86,130,90
2,300,150,94,250,150,94,150,110
2,350,145,100,250,150,100,180,140
2,400,141,100,250,150,100,190,140
2,450,136,100,250,150,100,210,140
2,500,130,100,250,150,100,240,160
2,550,139,100,250,150,100,270,170
2,600,132,100,250,150,100,280,170
2,650,116,100,250,150,100,310,180
2,700,103,100,250,150,100,330,180
2,750,99,100,250,150,100,340,210
2,800,105,99,250,150,100,340,210
2,850,103,100,250,150,100,370,220
2,900,107,100,250,150,100,390,240
2,950,106,100,250,150,100,420,260
2,1000,100,99,250,150,100,430,260
2,1050,100,99,250,150,100,460,260
2,1100,95,100,250,150,100,490,260
2,1150,81,98,250,150,100,490,260
2,1200,74,100,250,150,100,510,260
2,1250,67,100,250,150,100,460,260
2,1300,56,100,250,150,100,480,280
2,1350,51,100,250,150,100,520,280
2,1400,51,96,250,150,100,540,280
2,1450,45,94,250,150,100,550,300
2,1500,40,90,250,150,100,580,300
2,1550,35,88,250,150,100,580,300
2,1600,30,86,250,150,100,530,300
2,1650,23,87,250,150,100,560,310
2,1700,19,77,250,150,100,590,310
2,1750,14,73,250,150,100,620,310
2,1800,14,68,250,150,100,620,310
2,1850,11,61,250,150,100,620,310
2,1900,13,58,250,150,100,640,310
2,1950,14,48,250,150,100,670,310
2,2000,14,45,250,150,100,670,310
2,2050,13,39,250,150,100,680,310
2,2100,17,34,250,150,100,710,310
2,2150,22,26,250,150,100,740,310
2,2200,25,25,250,150,100,740,310
2,2250,32,23,250,150,100,770,310
2,2300,41,21,250,150,100,830,320
2,2350,46,21,250,150,100,830,340
2,2400,56,20,250,150,100,850,340
2,2450,68,20,250,150,100,850,360
2,2500,77,21,250,150,100,850,380
2,2550,81,26,250,150,100,860,400
2,2600,75,35,250,150,100,890,450
2,2650,89,39,250,150,100,910,450
2,2700,105,40,250,150,100,940,450
2,2750,124,42,250,150,100,940,460
2,2800,136,48,250,150,100,950,480
2,2850,146,58,250,150,100,980,530
2,2900,146,66,250,150,100,1000,540
2,2950,148,74,250,150,100,1010,540
2,3000,149,85,250,150,100,1010,540
3,0,100,50,250,100,50
3,0,100,50,250,100,50
3,50,88,54,250,100,54,40,50
3,100,95,63,250,100,63,60,60
3,150,111,70,250,111,70,70,90
3,200,101,83,250,112,83,100,100
3,250,93,99,250,112,99,150,150
3,300,87,100,250,112,100,160,150
3,350,76,100,250,112,100,180,170
3,400,72,98,250,112,100,190,180
3,450,79,95,250,112,100,220,180
3,500,78,99,250,112,100,250,180
3,550,77,99,250,112,100,280,210
3,600,78,97,250,112,100,300,230
3,650,66,99,250,112,100,310,250
3,700,58,98,250,112,100,340,250
3,750,50,100,250,112,100,340,250
3,800,42,97,250,112,100,360,280
3,850,35,96,250,112,100,360,280
3,900,29,100,250,112,100,360,280
3,950,24,97,250,112,100,370,280
3,1000,22,92,250,112,100,380,280
3,1050,16,92,250,112,100,400,280
3,1100,12,90,250,112,100,430,290
3,1150,15,82,250,112,100,420,290
3,1200,14,68,250,112,100,430,290
3,1250,17,60,250,112,100,430,290
3,1300,15,49,250,112,100,430,290
3,1350,14,43,250,112,100,430,290
3,1400,16,36,250,112,100,470,290
3,1450,18,35,250,112,100,480,290
3,1500,24,31,250,112,100,540,290
3,1550,31,25,250,112,100,560,290
3,1600,34,23,250,112,100,570,300
3,1650,44,16,250,112,100,590,300
3,1700,54,13,250,112,100,600,300
3,1750,64,13,250,112,100,630,300
3,1800,80,10,250,112,100,650,300
3,1850,96,10,250,112,100,660,300
3,1900,119,8,250,119,100,710,300
3,1950,143,8,250,143,100,750,220
3,2000,150,10,250,150,100,770,240
3,2050,150,12,250,150,100,780,250
3,2100,150,15,250,150,100,780,260
3,2150,150,19,250,150,100,780,280
3,2200,150,20,250,150,100,810,280
3,2250,149,22,250,150,100,810,280
3,2300,150,25,250,150,100,830,300
3,2350,149,31,250,150,100,840,300
3,2400,149,37,250,150,100,860,340
3,2450,150,42,250,150,100,890,360
3,2500,148,48,250,150,100,920,380
3,2550,149,57,250,150,100,930,380
3,2600,150,67,250,150,100,950,380
3,2650,146,78,250,150,100,970,390
3,2700,143,85,250,150,100,990,390
3,2750,145,97,250,150,100,1000,410
3,2800,145,100,250,150,100,1020,410
3,2850,138,100,250,150,100,1060,470
3,2900,134,100,250,150,100,1060,490
3,2950,141,100,250,150,100,1060,510
3,3000,147,100,250,150,100,1090,520
4,0,100,50,250,100,50
4,0,100,50,250,100,50
4,50,108,52,250,108,52,40,30
4,100,140,55,250,140,55,70,40
4,150,150,63,250,150,63,90,50
4,200,148,72,250,150,72,100,60
4,250,148,79,250,150,79,130,70
4,300,149,87,250,150,87,150,90
4,350,150,92,250,150,92,180,90
4,400,144,99,250,150,100,190,110
4,450,139,100,250,150,100,220,120
4,500,133,100,250,150,100,220,130
4,550,125,100,250,150,100,240,130
4,600,127,100,250,150,100,250,140
4,650,121,100,250,150,100,280,150
4,700,119,100,250,150,100,300,160
4,750,111,98,250,150,100,330,160
4,800,97,100,250,150,100,340,160
4,850,91,100,250,150,100,340,170
4,900,98,100,250,150,100,360,170
4,950,86,100,250,150,100,390,190
4,1000,90,100,250,150,100,390,190
4,1050,90,100,250,150,100,420,210
4,1100,87,100,250,150,100,450,220
4,1150,82,99,250,150,100,460,240
4,1200,79,99,250,150,100,490,250
4,1250,76,100,250,150,100,520,250
4,1300,72,99,250,150,100,540,250
4,1350,67,99,250,150,100,540,250
4,1400,67,99,250,150,100,540,250
4,1450,56,98,250,150,100,540,270
4,1500,55,98,250,150,100,550,300
4,1550,41,98,250,150,100,550,310
4,1600,38,95,250,150,100,570,320
4,1650,36,93,250,150,100,600,320
4,1700,39,90,250,150,100,610,320
4,1750,44,83,250,150,100,630,320
4,1800,41,83,250,150,100,660,320
4,1850,35,81,250,150,100,680,320
4,1900,38,74,250,150,100,710,320
4,1950,37,73,250,150,100,720,320
4,2000,34,73,250,150,100,730,320
4,2050,44,67,250,150,100,760,290
4,2100,37,68,250,150,100,760,290
4,2150,35,72,250,150,100,780,300
4,2200,37,72,250,150,100,800,300
4,2250,43,72,250,150,100,830,300
4,2300,43,68,250,150,100,850,330
4,2350,39,67,250,150,100,860,330
4,2400,43,68,250,150,100,920,330
4,2450,49,67,250,150,100,940,330
4,2500,47,64,250,150,100,950,360
4,2550,46,64,250,150,100,950,380
4,2600,45,62,250,150,100,970,410
4,2650,46,59,250,150,100,1000,410
4,2700,44,58,250,150,100,1010,430
4,2750,48,53,250,150,100,1040,430
4,2800,53,53,250,150,100,1060,430
4,2850,56,55,250,150,100,1090,440
4,2900,54,57,250,150,100,1100,440
4,2950,57,60,250,150,100,1130,440
4,3000,51,62,250,150,100,1150,450
5,0,100,50,250,100,50
5,0,100,50,250,100,50
5,50,106,52,250,106,52,40,40
5,100,121,58,250,121,58,70,60
5,150,135,64,250,136,64,100,60
5,200,147,76,250,150,76,120,90
5,250,150,88,250,150,88,130,100
5,300,148,100,250,150,100,150,120
5,350,146,100,250,150,100,160,150
5,400,138,100,250,150,100,190,150
5,450,128,100,250,150,100,210,180
5,500,134,100,250,150,100,240,180
5,550,130,99,250,150,100,250,190
5,600,113,100,250,150,100,250,190
5,650,107,100,250,150,100,280,190
5,700,91,100,250,150,100,310,190
5,750,75,100,250,150,100,340,190
5,800,70,100,250,150,100,360,210
5,850,59,100,250,150,100,370,220
5,900,52,99,250,150,100,390,230
5,950,54,100,250,150,100,390,230
5,1000,44,100,250,150,100,420,240
5,1050,44,100,250,150,100,450,240
5,1100,41,96,250,150,100,460,240
5,1150,38,91,250,150,100,460,240
5,1200,39,89,250,150,100,490,250
5,1250,40,85,250,150,100,510,260
5,1300,44,85,250,150,100,540,270
5,1350,43,84,250,150,100,550,270
5,1400,41,76,250,150,100,580,280
5,1450,32,77,250,150,100,580,280
5,1500,25,72,250,150,100,600,280
5,1550,25,71,250,150,100,610,280
5,1600,19,73,250,150,100,630,280
5,1650,16,75,250,150,100,630,290
5,1700,12,75,250,150,100,640,290
5,1750,12,68,250,150,100,650,290
5,1800,14,63,250,150,100,680,290
5,1850,12,55,250,150,100,710,290
5,1900,15,51,250,150,100,710,290
5,1950,12,45,250,150,100,740,300
5,2000,17,40,250,150,100,770,300
5,2050,23,34,250,150,100,790,300
5,2100,31,32,250,150,100,820,300
5,2150,35,27,250,150,100,830,300
5,2200,44,23,250,150,100,880,310
5,2250,59,20,250,150,100,890,310
5,2300,67,22,250,150,100,920,310
5,2350,75,24,250,150,100,940,310
5,2400,82,25,250,150,100,940,310
5,2450,93,27,250,150,100,950,310
5,2500,104,25,250,150,100,970,310
5,2550,109,29,250,150,100,980,310
5,2600,114,34,250,150,100,980,330
5,2650,117,39,250,150,100,1010,340
5,2700,119,46,250,150,100,1060,360
5,2750,130,53,250,150,100,1070,370
5,2800,146,58,250,150,100,1100,370
5,2850,149,66,250,150,100,1150,370
5,2900,147,72,250,150,100,1160,380
5,2950,150,79,250,150,100,1160,380
5,3000,146,86,250,150,100,1190,390
